domain,id,question,answer,notes,source
Application & Interface Security,AIS-01.1,"Do you use industry standards (Build Security in Maturity Model [BSIMM] benchmarks, Open Group ACS Trusted Technology Provider Framework, NIST, etc.) to build in security for your Systems/Software Development Lifecycle (SDLC)?",No,"Changes go through pull requests with typecheck, unit and end-to-end checks in CI, but no named SDLC security framework (BSIMM, NIST SSDF, etc.) is adopted.",https://github.com/AxsionDev/Lunos/blob/dev/.github/workflows/test.yml
Application & Interface Security,AIS-01.2,Do you use an automated source code analysis tool to detect security defects in code prior to production?,No,"No static application security testing (SAST) tool is in CI yet. Type checking and tests run on every pull request, but they are not security analysis.",https://github.com/AxsionDev/Lunos/blob/dev/.github/workflows/typecheck.yml
Application & Interface Security,AIS-01.3,Do you use manual source-code analysis to detect security defects in code prior to production?,Partial,Changes are made through pull requests. A mandatory independent reviewer is not enforced: branch protection is not enabled on `dev`.,
Application & Interface Security,AIS-01.4,Do you verify that all of your software suppliers adhere to industry standards for Systems/Software Development Lifecycle (SDLC) security?,No,Lunos is a fork of opencode and depends on open-source packages; their SDLC is not verified. A software bill of materials is published per release so the dependency tree can be checked.,https://github.com/AxsionDev/Lunos/blob/dev/docs/trust/supply-chain.md
Application & Interface Security,AIS-01.5,(SaaS only) Do you review your applications for security vulnerabilities and address any issues prior to deployment to production?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Application & Interface Security,AIS-02.1,"Are all identified security, contractual, and regulatory requirements for customer access contractually addressed and remediated prior to granting customers access to data, assets, and information systems?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Application & Interface Security,AIS-02.2,Are all requirements and trust levels for customers’ access defined and documented?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Application & Interface Security,AIS-03.1,"Are data input and output integrity routines (i.e., reconciliation and edit checks) implemented for application interfaces and databases to prevent manual or systematic processing errors or corruption of data?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Application & Interface Security,AIS-04.1,"Is your Data Security Architecture designed using an industry standard (e.g., CDSA, MULITSAFE, CSA Trusted Cloud Architectural Standard, FedRAMP, CAESARS)?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Audit Assurance & Compliance,AAC-01.1,"Do you produce audit assertions using a structured, industry accepted format (e.g., CloudAudit/A6 URI Ontology, CloudTrust, SCAP/CYBEX, GRC XML, ISACA's Cloud Computing Management Audit/Assurance Program, etc.)?",No,No structured audit assertions are produced.,
Audit Assurance & Compliance,AAC-02.1,Do you allow tenants to view your SOC2/ISO 27001 or similar third-party audit or certification reports?,No,"Lunos holds no SOC 2, ISO 27001 or similar certification or third-party audit report, and claims none.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Audit Assurance & Compliance,AAC-02.2,Do you conduct network penetration tests of your cloud service infrastructure regularly as prescribed by industry best practices and guidance?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Audit Assurance & Compliance,AAC-02.3,Do you conduct application penetration tests of your cloud infrastructure regularly as prescribed by industry best practices and guidance?,No,No application penetration test has been carried out on Lunos.,
Audit Assurance & Compliance,AAC-02.4,Do you conduct internal audits regularly as prescribed by industry best practices and guidance?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Audit Assurance & Compliance,AAC-02.5,Do you conduct external audits regularly as prescribed by industry best practices and guidance?,No,No external audit has been carried out.,
Audit Assurance & Compliance,AAC-02.6,Are the results of the penetration tests available to tenants at their request?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Audit Assurance & Compliance,AAC-02.7,Are the results of internal and external audits available to tenants at their request?,N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
Audit Assurance & Compliance,AAC-02.8,Do you have an internal audit program that allows for cross-functional audit of assessments?,Axsion to answer,An organisational policy of ITService EOOD. Not documented in the Lunos repository; to be answered by Axsion.,
Audit Assurance & Compliance,AAC-03.1,"Do you have the ability to logically segment or encrypt customer data such that data may be produced for a single tenant only, without inadvertently accessing another tenant's data?",N/A,"Lunos is self-hosted software. ITService EOOD operates no service that stores or processes customer data, so there is no provider-side infrastructure, tenant data or tenancy to which this applies.",https://github.com/AxsionDev/Lunos/blob/dev/docs/deployment/self-hosted.md
